"aide","enonce_groupe","enonce_site","type","unite","id"
"NULL","Intervenez-vous (vos salariés) sur des matériaux amiantés (travaux de maintenance de bâtiments ou de machines pouvant contenir de l'amiante...) ?","Intervenez-vous (vos salariés) sur des matériaux amiantés (travaux de maintenance de bâtiments ou de machines pouvant contenir de l'amiante...) ?","1","NULL","006F52E9102A8D3BE2FE5614F42BA989"
"NULL","De quelles sources (scellées, non scellées) ou appareils (accélérateurs de particules, générateurs de rayons X) s'agit-il?","De quelles sources (scellées, non scellées) ou appareils (accélérateurs de particules, générateurs de rayons X) s'agit-il?","0","NULL","01161AAA0B6D1345DD8FE4E481144D84"
"NULL","NULL","Le site est-il localisé sur une zone sismique ? Merci de préciser le type de classe.","1","NULL","013D407166EC4FA56EB1E1F8CBE183B9"
"NULL","Etes-vous soumis ou avez-vous un plan de prévention des risques naturels (PPRN) ?","Etes-vous soumis ou avez-vous un plan de prévention des risques naturels (PPRN) ?","1","NULL","02522A2B2726FB0A03BB19F2D8D9524D"
"NULL","NULL","Plans et localisation des bâtiments communiqués à Tennaxia","0","NULL","0266E33D3F546CB5436A10798E657D97"
"NULL","Effectuez-vous des opérations de chargement / déchargement / transport de matières dangereuses sur l'un de vos sites ?","Effectuez-vous des opérations de chargement / déchargement / transport de matières dangereuses sur le site ?","1","NULL","02E74F10E0327AD868D138F2B4FDD6F0"
"NULL","Quels sont les numéros des tableaux de maladie professionnelle concernés ?","Quels sont les numéros des tableaux de maladie professionnelle concernés ?","0","NULL","0336DCBAB05B9D5AD24F4333C7658A0E"
"NULL","NULL","Listez l'ensemble des arrêtés préfectoraux d'autorisation d'exploiter et des arrêtés complémentaires applicables à votre site et/ou les récépissés de déclaration.\nMerci d'indiquer en commentaire le libellé et la date de chaque texte.","0","NULL","03AFDBD66E7929B125F8597834FA83A4"
"Vous pouvez renseigner ces informations dans un fichier Excel comportant, en ligne, la liste des informations demandées et, une colonne pour chaque bâtiment et mettre ce fichier en pièce jointe de votre réponse.\nLe cas échéant, indiquer la date de dépôt de la demande de permis de construire ou de la déclaration préalable.","Merci de joindre un fichier Excel avec l'ensemble des informations suivantes sur l'historique des différents bâtiments :\n - date(s) d'achat\n - date(s) de construction\n - date(s) des éventuels travaux d'extension\n - date(s) des éventuels travaux de rénovation importants (nécessitant un permis de construire ou une déclaration préalable)","Merci de joindre un fichier Excel avec l'ensemble des informations suivantes sur l'historique, l'usage et la superficie de chaque bâtiment :\nHistorique des différents bâtiments\n - date(s) d'achat\n - date(s) de construction\n - date(s) des éventuels travaux d'extension\n - date(s) des éventuels travaux de rénovation importants (nécessitant un permis de construire ou une déclaration préalable)\n\nUsage des différents bâtiments\n - Bureaux ?\n - Industriel ?\n - Commercial ?\n - Locaux techniques ?\n - ERP ?\n - Autre ?\n\n Superficie des différents bâtiments\n","0","NULL","03C6B06952C750899BB03D998E631860"
"Moteurs électriques, lampes, circulateurs, transformateurs, climatiseurs, appareils de chauffage ou de refroidissement, appareils ménagers...","NULL","Faites-vous de la mise sur le marché et/ou mise en service de produits consommateurs d'énergie ?\nSi oui, précisez lesquels dans le champ commentaire.","1","NULL","042F2AFDAD0611E7B3CE001851D17886"
"A titre d'exemple, les travaux salissants concernent notamment la métallurgie, la préparation et l'application de peintures, les travaux de fonderie, les travaux d'usinage comportant un contact permanent avec des fluides de coupe, le polissage des métaux, les travaux comportant un contact permanent avec les lubrifiants de décolletage...\nLa liste exhaustive des travaux concernés est annexée à l'arrêté du 23 juillet 1947.","Avez-vous de travaux salissants sur au moins l'un de vos sites ?","Avez-vous de travaux salissants sur le site ?","1","NULL","045117B0E0A11A242B9765E79CBF113F"
"NULL","Avez-vous des centrifugeuses ?","Avez-vous des centrifugeuses ?","1","NULL","060AD92489947D410D897474079C1477"
"NULL","Avez-vous délégué à une entreprise extérieure les prestations de conduite et d'entretien des installations de chauffage et/ou de climatisation pour au moins l'un de vos sites ?","Avez-vous délégué à une entreprise extérieure les prestations de conduite et d'entretien des installations de chauffage et/ou de climatisation de votre site ?","1","NULL","06138BC5AF6023646EDE0E1F7C1EAC75"
"NULL","NULL","Quel est le nombre de personnes par m² ?","4","pers./m²","06409663226AF2F3114485AA4E0A23B4"
"NULL","Précisez les modes d'élimination des transformateurs (l'intégralité des transformateurs ont été remplacés OU l'huile a été décontaminée mais le transformateur est d'origine)","Précisez les modes d'élimination des transformateurs (l'intégralité des transformateurs ont été remplacés OU l'huile a été décontaminée mais le transformateur est d'origine)","3","NULL","069059B7EF840F0C74A814EC9237B6EC"
"NULL","Quelles rubriques ICPE à Enregistrement (E) concernent vos sites ?","Quelles rubriques ICPE à Enregistrement (E) concernent votre site ?\n Merci de préciser en commentaire pour chaque rubrique la date de premier enregistrement ou de portée à connaissance de l’inspection des installations classées (DREAL).","0","NULL","072B030BA126B2F4B2374F342BE9ED44"
"NULL","Avez-vous des quais de chargement/déchargement ? \nMerci de préciser dans le commentaire, si leur longueur est supérieure ou inférieure à 20 m.","Avez-vous des quais de chargement/déchargement ? \nMerci de préciser dans le commentaire, si leur longueur est supérieure ou inférieure à 20 m.","1","NULL","0777D5C17D4066B82AB86DFF8A46AF6F"
"NULL","Quelles sont les principales installations et équipements énergétiques présents sur vos sites ?","Quelles sont les principales installations et équipements énergétiques présents sur votre site ?","0","NULL","077E29B11BE80AB57E1A2ECABB7DA330"
"NULL","L'installation est-elle raccordée au réseau public de distribution ou de transport d'électricité ?","L'installation est-elle raccordée au réseau public de distribution ou de transport d'électricité ?","1","NULL","07CDFD23373B17C6B337251C22B7EA57"
"NULL","Quelle est la quantité de papiers à copier, d'enveloppes et/ou de pochettes postales produites, importées ou vendues en tonnes sur une année civile ?","Quelle est la quantité de papiers à copier, d'enveloppes et/ou de pochettes postales produites, importées ou vendues en tonnes sur une année civile ?","4","t","07E1CD7DCA89A1678042477183B7AC3F"
"NULL","Avez-vous des postes de travail exposant vos salariés au plomb, benzène, poussières de bois ?","Avez-vous des postes de travail exposant vos salariés au plomb, benzène, poussières de bois ?","1","NULL","084B6FBB10729ED4DA8C3D3F5A3AE7C9"
"NULL","Avez-vous des monte-charges ?","Avez-vous des monte-charges ?","1","NULL","091D584FCED301B442654DD8C23B3FC9"
"NULL","Quelles rubriques ICPE à Déclaration avec ou sans contrôle périodique (D ou DC) concernent vos sites ?","Quelles rubriques ICPE à Déclaration avec ou sans contrôle périodique (D ou DC) concernent votre site ? \n Merci de préciser en commentaire pour chaque rubrique la date de première déclaration ou de portée à connaissance de l’inspection des installations classées (DREAL).","0","NULL","093F65E080A295F8076B1C5722A46AA2"
"NULL","Existence de piézomètres ?","Existence de piézomètres ?","1","NULL","0A09C8844BA8F0936C20BD791130D6B6"
"NULL","NULL","Cette activité de mise sur le marché/mise en service de produits consommateurs d'énergie relève-t-elle du périmètre de votre système de management de l'énergie certifié ISO 50001 ?","1","NULL","0A149FF6AD0611E7B3CE001851D17886"
"NULL","Y a-t-il un (ou plusieurs) infirmier(s) intervenant sur au moins l'un des sites ?","Y a-t-il un (ou plusieurs) infirmier(s) intervenant sur site ?","1","NULL","0AA1883C6411F7873CB83DACB17B0AFC"
"NULL","Combien d'établissements sont concernés par cette veille Groupe ? Merci de mettre en pièce jointe, la raison sociale des sites, leur adresse et leurs effectifs.","NULL","4","sites","0E01938FC48A2CFB5F2217FBFB00722D"
"Si tous les postes sont en-dessous de 80dB(A), merci de cocher Non concerné.","Avez-vous des postes de travail exposant des salariés au bruit ?","Avez-vous des postes de travail exposant des salariés au bruit ?","2","NULL","0E65972DCE68DAD4D52D063967F0A705"
"Merci de préciser lesquelles - parmi les oiseaux, mammifères, amphibiens, insectes, mollusques, … -  en commentaire.","Avez-vous des espèces protégées sur au moins l'un de vos sites (faune et flore) ?","Avez-vous des espèces protégées sur votre site (faune et flore) ?","1","NULL","0EEE5C5E1E6211E9997EFA163E3BC92C"
"NULL","Quelles plantes avez-vous sur vos sites ?","Quelles plantes avez-vous sur votre site ?","0","NULL","0EF168811E6211E9997EFA163E3BC92C"
"Merci de préciser les espèces présentes en commentaire.","Avez-vous des nuisibles sur vos sites ? Par exemple ragondins, champignons...","Avez-vous des nuisibles sur votre site ? Par exemple ragondins, champignons...","1","NULL","0EF1A0FD1E6211E9997EFA163E3BC92C"
"NULL","L'un de vos sites est-il proche ou à l'intérieur d’une zone Natura 2000 ?","Votre site est-il proche ou à l’intérieur d’une zone Natura 2000 ?","1","NULL","0EF1EF4E1E6211E9997EFA163E3BC92C"
"NULL","Etes-vous propriétaire ou exploitant d'un barrage, d'un système d'endiguement ou d'un aménagement hydraulique ? Merci de préciser en commentaire le type d'ouvrage et sa classe A, B ou C.","Etes-vous propriétaire ou exploitant d'un barrage, d'un système d'endiguement ou d'un aménagement hydraulique ? Merci de préciser en commentaire le type d'ouvrage et sa classe A, B ou C.","1","NULL","0F28B5D49B3020AFEECD95B4009ADF4C"
"Exclu du régime légal : Puits canadiens, géostructures thermiques, échangeurs géothermiques fermés d'une profondeur inférieure à 10 mètres, échangeurs géothermiques ouverts dont au moins un échangeur fonctionne en circuit ouvert répondant aux conditions de la géothermie de minime importance et dont aucun des ouvrages de prélèvement ou de réinjection ne dépasse la profondeur de 10 mètres.\nGéothermie de minime importance :\n- Echangeurs géothermiques fermés et :\na) La profondeur du forage est supérieure à 10 mètres et inférieure à 200 mètres ;\nb) La puissance thermique maximale prélevée du sous-sol et utilisée pour l'ensemble de l'installation est inférieure à 500 kW ;\n- Echangeur géothermique ouvert et :\na) La température de l'eau prélevée en sortie des ouvrages de prélèvement est inférieure à 25° C\nb) La profondeur du forage est inférieure à 200 mètres\nc) La puissance thermique maximale prélevée du sous-sol et utilisée pour l'ensemble de l'installation est inférieure à 500 kW\nd) Les eaux prélevées sont réinjectées dans le même aquifère et la différence entre les volumes d'eaux prélevés et réinjectés est nulle\ne) Les débits prélevés ou réinjectés sont inférieurs à 80 m3/h\nPuissance primaire : puissance thermique maximale qui peut être prélevée du sous-sol sur l'ensemble du périmètre défini par un titre d'exploitation.","Exploitez-vous une installation géothermique ? De quel type de géothermie s'agit-il ?\nMerci de préciser en commentaire si elle produit de la chaleur ou de l'électricité et le type d'installation (pompe à chaleur, puits canadien, centrale géothermique, ...).","Exploitez-vous une installation géothermique ? De quel type de géothermie s'agit-il ?\nMerci de préciser en commentaire si elle produit de la chaleur ou de l'électricité et le type d'installation (pompe à chaleur, puits canadien, centrale géothermique, ...).","2","NULL","0F49C89D1E7298BB9930789C8ED59D48"
"Il s'agit généralement d'équipements mis sur le marché avant le 1er janvier 1995.","Avez-vous des équipements de travail sans le marquage CE ?","Avez-vous des équipements de travail sans le marquage CE ?","1","NULL","115F89503138416A242F40FB7D7F338E"
"On entend par ""utilisation"" toute opération ou ensemble d'opérations au cours desquelles des organismes sont génétiquement modifiés ou au cours desquelles des OGM sont cultivés, stockés, transportés, détruits, éliminés ou mis en œuvre de toute autre manière.","Utilisez-vous des organismes génétiquement modifiés sur au moins l'un de vos sites ? De quel groupe ?","Utilisez-vous des organismes génétiquement modifiés sur votre site ? De quel groupe ?","2","NULL","1385974ED5904A438616FF7BDB3F7439"
"NULL","Possédez-vous des cabines d'application de peinture, de vernis ou autres produits ?","Possédez-vous des cabines d'application de peinture, de vernis ou autres produits ?","1","NULL","13FE9D84310E77F13A6D184DBF1232F3"
"NULL","Quel est le type de ventilation des locaux ?","Quel est le type de ventilation des locaux ?","2","NULL","140F6969D5213FD0ECE03148E62E461E"
"NULL","Avez-vous des bâtiments à usage principal de bureaux ?","Avez-vous des bâtiments à usage principal de bureaux ?","1","NULL","149E9677A5989FD342AE44213DF68868"
"NULL","Distribuez-vous, sur l'un de vos sites, de l'eau potable autre que celle provenant du réseau public ?","Distribuez-vous sur le site de l'eau potable autre que celle provenant du réseau public ?","1","NULL","14BFA6BB14875E45BBA028A21ED38046"
"NULL","Avez-vous des voies ferrées sur au moins l'un des sites ?","Avez-vous des voies ferrées sur le site ?","1","NULL","1534B76D325A8F591B52D302E7181331"
"NULL","Statut juridique de l'entreprise ou des entreprises concernée(s) par cette veille : SA, SAS, SARL, etc.","Statut juridique de votre entreprise : SA, SAS, SARL, etc.","0","NULL","1679091C5A880FAF6FB5E6087EB1B2DC"
"NULL","Combien de Comités d'hygiène, de la sécurité et des conditions de travail (CHSCT) ou de Comités social et économique (CSE) avez-vous au sein de votre entreprise ?","NULL","4","NULL","16A5CDAE362B8D27A1D8F8C7B78B4330"
"NULL","NULL","Si des chaudières ne sont pas rassemblées dans un même local, sont-elles malgré tout raccordées ou raccordables à une cheminée commune ? Si oui, précisez lesquelles.","1","NULL","17E62166FC8586DFA4D1BC0E1742C08B"
"Substances inflammables : zone 0, zone 1 ou  zone 2\nPoussières : zone 20, zone 21, zone 22","De quels types de zone s'agit-il ?","De quels types de zone s'agit-il ?","2","NULL","182BE0C5CDCD5072BB1864CDEE4D3D6E"
"NULL","NULL","Précisez l'année de mise en service de chaque chaudière.","0","NULL","19CA14E7EA6328A42E0EB13D585E4C22"
"NULL","Etes-vous soumis à l'obligation de réalisation un bilan des GES (gaz à effet de serre) ?","Etes-vous soumis à l'obligation de réalisation d'un bilan des GES (gaz à effet de serre) ?","1","NULL","19F3CD308F1455B3FA09A282E0D496F4"
"NULL","Etes-vous soumis ou possédez-vous un plan d'opération interne (POI) ?","Etes-vous soumis ou possédez-vous un plan d'opération interne (POI) ?","1","NULL","1AFA34A7F984EEABDBB0A7D494132EE5"
"fioul, gaz, etc.","Précisez les combustibles utilisés par vos chaudières.","Précisez le combustible utilisé pour chaque chaudière.","0","NULL","1C383CD30B7C298AB50293ADFECB7B18"
"NULL","Avez-vous des locaux dont le dernier plancher est à plus de 8 mètres du sol ?","Avez-vous des locaux dont le dernier plancher est à plus de 8 mètres du sol ?","1","NULL","1C9AC0159C94D8D0CBEDC973445AF2DA"
"NULL","NULL","Avez-vous une équipe de première intervention sur le site ?","1","NULL","1D7F7ABC18FCB43975065399B0D1E48E"
"NULL","Etes-vous concerné par la Taxe sur les véhicules de société (TVS) ?","Etes-vous concerné par la Taxe sur les véhicules de société (TVS) ?","1","NULL","1EE6D80861EB11EA8DF2FA163E989830"
"NULL","Votre entreprise est-elle cotée en bourse sur un marché français ?","Votre entreprise est-elle cotée en bourse sur un marché français ?","1","NULL","1F0E3DAD99908345F7439F8FFABDFFC4"
"NULL","L'entretien des espaces verts (Ex. : tonte des pelouses, taille des haies, etc.) est-il assuré par votre personnel sur au moins l'un de vos sites?","L'entretien des espaces verts (Ex. : tonte des pelouses, taille des haies, etc.) est-il assuré par votre personnel?","1","NULL","1FF1DE774005F8DA13F42943881C655F"
"NULL","Avez-vous du personnel posté ?","Avez-vous du personnel posté ?","1","NULL","1FF8A7B5DC7A7D1F0ED65AAA29C04B1E"
"NULL","NULL","Votre site génère-t-il des biodéchets (Ex. : déchets verts, déchets de repas, etc.) ? Si oui, merci de préciser la quantité annuelle en tonne.","1","NULL","202CB962AC59075B964B07152D234B70"
"NULL","Avez-vous des systèmes de récupération d'énergie ? Si oui, merci de préciser le type de système ?","Avez-vous des systèmes de récupération d'énergie ? Si oui, merci de préciser le type de système ?","1","NULL","20F07591C6FCB220FFE637CDA29BB3F6"
"Une PME est une entreprise (SIREN) de moins de 250 personnes et dont le chiffre d’affaires annuel n’excède pas 50 millions d’euros ou le total du bilan n’excède pas 43 millions d’euros.","Certaines de vos entreprises sont-elles des PME ?","Votre entreprise est-elle une PME ?","1","NULL","215A53FE61EB11EA8DF2FA163E989830"
"Les déchets sont considérés comme dangereux s'ils présentent une ou plusieurs des propriétés suivantes : explosif, comburant, inflammable, irritant, nocif, toxique, cancérogène, corrosif, infectieux, toxique pour la reproduction….\nIl sont signalés par une astérisque dans la nomenclature des déchets qui figure à l'annexe II de l'article R 541-8 du Code de l'environnement.","NULL","Quelle quantité de déchets dangereux produisez-vous chaque année (en tonnes par an) ?","4","t/an","26657D5FF9020D2ABEFE558796B99584"
"NULL","NULL","Avez-vous recours à un transporteur pour l'enlèvement de vos déchets ?","1","NULL","2723D092B63885E0D7C260CC007E8B9D"
"NULL","Avez-vous des salariés à suivi individuel spécial ou renforcé de l'état de santé ? Merci de préciser en commentaire les postes concernés.","Avez-vous des salariés à suivi individuel spécial ou renforcé de l'état de santé ? Merci de préciser en commentaire les postes concernés.","1","NULL","274AD4786C3ABCA69FA097B85867D9A4"
"NULL","Avez-vous des cuves aériennes ? Si oui merci de préciser en commentaire pour quel produit et quelle capacité et si ces cuves sont horizontales ou verticales.","Avez-vous des cuves aériennes ? Si oui merci de préciser en commentaire pour quel produit et quelle capacité et si ces cuves sont horizontales ou verticales.","1","NULL","2838023A778DFAECDC212708F721B788"
"Les réseaux intérieurs sont les installations intérieures d'électricité à haute ou basse tension, lorsqu'elles ne constituent pas un réseau public de distribution d'électricité ni un réseau fermé de distribution d'électricité, des bâtiments tertiaires ou accueillant un service public, appartenant à un propriétaire unique.","Etes-vous utilisateur ou exploitant ou gestionnaire d'un réseau intérieur d'électricité ?","Etes-vous utilisateur ou exploitant ou gestionnaire d'un réseau intérieur d'électricité ?","1","NULL","284EB298FFB211E8AA9BFA163EAD7035"
"Les réseaux intérieurs sont les installations intérieures d'électricité à haute ou basse tension, lorsqu'elles ne constituent pas un réseau public de distribution d'électricité ni un réseau fermé de distribution d'électricité, des bâtiments tertiaires ou accueillant un service public, appartenant à un propriétaire unique.","Ce conseiller en radioprotection est-il :","Ce conseiller en radioprotection est-il :","2","NULL","285B2674FFB211E8AA9BFA163EAD7035"
"\n- être une société anonyme  (S.A.), une société en commandite par actions (S.C.A.), une société européenne (S.E.) ou une filiale d'une de ces sociétés\n\n- avoir un bilan d'au moins 20 millions d'euros ou un chiffre d'affaire net d'au moins 40 millions d'euros,\n- employer au moins 500 salariés permanents\n\nNote : les calculs de bilan et effectifs incluent vos filiales, y compris étrangères\n","Remplit-elle l'ensemble des critères ""entreprises cotées"" définis ci-dessous ?","Remplit-elle l'ensemble des critères ""entreprises cotées"" définis ci-dessous ?","1","NULL","2871B948FFB211E8AA9BFA163EAD7035"
"NULL","Etes-vous soumis à plan de sûreté au titre du transport de matières dangereuses ?","Etes-vous soumis à plan de sûreté au titre du transport de matières dangereuses ?","1","NULL","28865876FFB211E8AA9BFA163EAD7035"
"NULL","Avez-vous au moins l'un de ces équipements : harnais, appareil respiratoire individuel (ARI), masque à cartouche, gilets de sauvetage gonflables ?","Avez-vous au moins l'un de ces équipements : harnais, appareil respiratoire individuel (ARI), masque à cartouche, gilets de sauvetage gonflables ?","1","NULL","289DFF07669D7A23DE0EF88D2F7129E7"
"NULL","Existe-t-il un système d'assainissement individuel sur au moins l'un de vos sites (du type fosse septique) ?","Existe-t-il un système d'assainissement individuel sur le site (du type fosse septique) ?","1","NULL","28DD2C7955CE926456240B2FF0100BDE"
"NULL","Avez-vous des équipements contenant du R22 ?","Avez-vous des équipements contenant du R22 ?\nMerci de préciser la quantité de gaz qu'ils contiennent.","1","NULL","2A38A4A9316C49E5A833517C45D31070"
"NULL","Avez-vous une équipe de seconde intervention sur au moins l'un de vos sites ?","Avez-vous une équipe de seconde intervention sur le site ?","1","NULL","2A79EA27C279E471F4D180B08D62B00A"
"NULL","Déclarez-vous annuellement votre quantité de polluants émis dans l'atmosphère dans le cadre du paiement de la TGAP ?","Déclarez-vous annuellement votre quantité de polluants émis dans l'atmosphère dans le cadre du paiement de la TGAP ?","1","NULL","2B24D495052A8CE66358EB576B8912C8"
"Par exemple : équipements informatiques et de télécommunications, etc.","Avez-vous des déchets d'équipements électriques et électroniques ?","Avez-vous des déchets d'équipements électriques et électroniques ?","1","NULL","2B44928AE11FB9384C4CF38708677C48"
